epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.203,1.90877,5.23653,1.98624,0.10135,0.10144,0.04445,0.02299,1.87576,4.33984,1.98229,0.0671089,0.000332233,0.000332233
2,377.028,1.68175,3.41182,1.80278,0.25013,0.26052,0.16065,0.08849,1.67228,3.22236,1.81992,0.0340775,0.00063419,0.00063419
3,561.884,1.56236,2.82046,1.71472,0.32059,0.31942,0.23664,0.13288,1.61359,2.7478,1.76062,0.00101473,0.000904718,0.000904718
4,746.404,1.47479,2.44994,1.65901,0.32884,0.34218,0.27691,0.15193,1.57532,2.49792,1.7661,0.000858571,0.000858571,0.000858571
5,931.162,1.40074,2.21197,1.59996,0.38832,0.42393,0.3517,0.19848,1.51246,2.24301,1.67068,0.000811429,0.000811429,0.000811429
6,1116.28,1.32121,1.98997,1.52172,0.44751,0.43578,0.40492,0.22892,1.4933,2.10009,1.66308,0.000764286,0.000764286,0.000764286
7,1301.27,1.29605,1.82591,1.49699,0.46287,0.45287,0.42246,0.23827,1.4907,1.9919,1.65425,0.000717143,0.000717143,0.000717143
8,1485.24,1.25766,1.68776,1.46095,0.46416,0.49022,0.44137,0.24729,1.47656,1.93724,1.63226,0.00067,0.00067,0.00067
9,1667.84,1.20451,1.59554,1.43061,0.4872,0.49679,0.45757,0.25746,1.44844,1.88356,1.59986,0.000622857,0.000622857,0.000622857
10,1850.91,1.18343,1.51767,1.4116,0.49303,0.50061,0.47235,0.26673,1.45856,1.85093,1.63285,0.000575714,0.000575714,0.000575714
11,2033.99,1.17421,1.4446,1.40034,0.50885,0.51973,0.49354,0.28435,1.43376,1.79075,1.59629,0.000528571,0.000528571,0.000528571
12,2225.72,1.13864,1.37762,1.37384,0.51456,0.52575,0.50026,0.2822,1.42669,1.77574,1.5907,0.000481429,0.000481429,0.000481429
13,2409.59,1.11689,1.33834,1.34597,0.52031,0.53497,0.51533,0.29183,1.43594,1.74855,1.59151,0.000434286,0.000434286,0.000434286
14,2592.72,1.10434,1.28596,1.33522,0.51933,0.53894,0.51685,0.29412,1.42958,1.74058,1.58073,0.000387143,0.000387143,0.000387143
15,2775.59,1.06846,1.23098,1.30147,0.54798,0.54413,0.52637,0.30233,1.41835,1.70824,1.57481,0.00034,0.00034,0.00034
16,2957.86,1.06987,1.21757,1.30955,0.52262,0.55649,0.52429,0.30203,1.41261,1.71951,1.56492,0.000292857,0.000292857,0.000292857
17,3141.03,1.05796,1.17944,1.30565,0.53949,0.55686,0.53104,0.30796,1.41499,1.69141,1.56948,0.000245714,0.000245714,0.000245714
18,3324.87,1.03326,1.14918,1.28896,0.5225,0.57067,0.54014,0.31336,1.41464,1.68581,1.56373,0.000198571,0.000198571,0.000198571
19,3508.6,1.0256,1.11999,1.27987,0.54724,0.56301,0.53994,0.31166,1.41059,1.68054,1.55701,0.000151429,0.000151429,0.000151429
20,3690.74,1.03868,1.11829,1.28736,0.54362,0.56294,0.54306,0.31613,1.40704,1.66538,1.55717,0.000104286,0.000104286,0.000104286
21,3874.63,1.01769,1.09349,1.26957,0.5397,0.56745,0.54471,0.31829,1.40708,1.66432,1.56037,5.71429e-05,5.71429e-05,5.71429e-05
