epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.197,1.25471,1.46676,1.44852,0.59672,0.61079,0.58915,0.3517,1.37207,1.4857,1.52972,0.0671089,0.000332233,0.000332233
2,371.728,1.22759,1.40701,1.41185,0.56486,0.62369,0.5874,0.34842,1.35662,1.46161,1.50835,0.0340775,0.00063419,0.00063419
3,556.276,1.19721,1.35464,1.37936,0.57915,0.63969,0.60782,0.36121,1.35512,1.41855,1.50386,0.00101473,0.000904718,0.000904718
4,740.179,1.15854,1.31009,1.35463,0.57136,0.62372,0.59974,0.35615,1.37236,1.44584,1.50273,0.000858571,0.000858571,0.000858571
5,924.714,1.12744,1.26105,1.32926,0.59634,0.60222,0.61039,0.36413,1.37384,1.42109,1.51075,0.000811429,0.000811429,0.000811429
6,1109.44,1.09137,1.16519,1.30077,0.60426,0.60937,0.61257,0.36323,1.35284,1.41232,1.4972,0.000764286,0.000764286,0.000764286
7,1293.78,1.08498,1.13308,1.29212,0.61353,0.63839,0.63162,0.37468,1.36452,1.39098,1.50176,0.000717143,0.000717143,0.000717143
8,1478.53,1.05335,1.06865,1.26119,0.61016,0.62255,0.62021,0.36709,1.36218,1.40849,1.50231,0.00067,0.00067,0.00067
9,1664.47,1.03948,1.03963,1.26125,0.60838,0.63249,0.63853,0.37282,1.37478,1.40052,1.52066,0.000622857,0.000622857,0.000622857
10,1848.73,1.0074,1.0095,1.24877,0.59818,0.65076,0.63646,0.37641,1.37641,1.41073,1.5137,0.000575714,0.000575714,0.000575714
11,2034.11,0.99309,0.96353,1.23091,0.6231,0.65943,0.64183,0.37538,1.37241,1.38245,1.51614,0.000528571,0.000528571,0.000528571
12,2227.78,0.98287,0.95466,1.21253,0.63689,0.64376,0.64646,0.38512,1.37126,1.37515,1.51711,0.000481429,0.000481429,0.000481429
13,2412.9,0.95828,0.92303,1.19666,0.63598,0.63403,0.64598,0.38318,1.36332,1.3795,1.5142,0.000434286,0.000434286,0.000434286
14,2597.65,0.95073,0.88605,1.19762,0.63526,0.6359,0.64254,0.38247,1.37298,1.38985,1.52073,0.000387143,0.000387143,0.000387143
15,2782.29,0.92877,0.86553,1.18457,0.62571,0.64527,0.63413,0.37549,1.36677,1.39771,1.51386,0.00034,0.00034,0.00034
16,2968.26,0.91139,0.8411,1.17433,0.61124,0.63889,0.6356,0.37585,1.36669,1.39646,1.52084,0.000292857,0.000292857,0.000292857
17,3153.94,0.9123,0.82602,1.16928,0.61065,0.66027,0.64384,0.38208,1.3742,1.38233,1.52698,0.000245714,0.000245714,0.000245714
18,3339.59,0.88652,0.80436,1.1528,0.63004,0.64806,0.64396,0.38193,1.36818,1.37548,1.53002,0.000198571,0.000198571,0.000198571
19,3524.8,0.89015,0.79465,1.15379,0.63428,0.65156,0.64873,0.39041,1.36506,1.38587,1.52996,0.000151429,0.000151429,0.000151429
20,3710.13,0.8882,0.79954,1.16105,0.63084,0.6445,0.65046,0.39151,1.36004,1.37081,1.52312,0.000104286,0.000104286,0.000104286
21,3895.27,0.87952,0.77471,1.15057,0.63214,0.64661,0.65144,0.39235,1.35845,1.36654,1.52192,5.71429e-05,5.71429e-05,5.71429e-05
