epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.711,1.21865,1.3544,1.43577,0.62333,0.65157,0.64729,0.38729,1.34503,1.34271,1.49981,0.0671089,0.000332233,0.000332233
2,421.057,1.1827,1.31392,1.38956,0.60219,0.67234,0.64256,0.38901,1.32961,1.33677,1.47826,0.0340775,0.00063419,0.00063419
3,639.544,1.14791,1.28677,1.36486,0.60231,0.65512,0.63454,0.3887,1.32244,1.34805,1.46432,0.00101473,0.000904718,0.000904718
4,857.086,1.11422,1.21418,1.33076,0.63086,0.64125,0.64693,0.38732,1.33305,1.33165,1.46792,0.000858571,0.000858571,0.000858571
5,1082.28,1.07772,1.17735,1.30787,0.6423,0.66133,0.65847,0.39726,1.32501,1.31073,1.45014,0.000811429,0.000811429,0.000811429
6,1303.37,1.06181,1.1229,1.28815,0.63494,0.64892,0.66715,0.41061,1.31489,1.31348,1.45076,0.000764286,0.000764286,0.000764286
7,1522.14,1.03756,1.06711,1.26206,0.63201,0.63783,0.64741,0.39023,1.3302,1.33481,1.46205,0.000717143,0.000717143,0.000717143
8,1735.29,1.01201,1.00651,1.2508,0.60921,0.65034,0.64527,0.38539,1.33743,1.37794,1.46379,0.00067,0.00067,0.00067
9,1945.03,0.99206,0.95928,1.23985,0.62598,0.65593,0.65378,0.4004,1.32644,1.32896,1.45879,0.000622857,0.000622857,0.000622857
10,2151.3,0.96948,0.93451,1.21759,0.63083,0.64046,0.63924,0.38827,1.31718,1.36271,1.45662,0.000575714,0.000575714,0.000575714
11,2346.82,0.94629,0.91644,1.20544,0.65159,0.64686,0.66451,0.4079,1.32583,1.33469,1.46486,0.000528571,0.000528571,0.000528571
12,2559.27,0.9299,0.87172,1.19788,0.6357,0.66232,0.6507,0.40109,1.32387,1.33108,1.46255,0.000481429,0.000481429,0.000481429
13,2766.13,0.92281,0.86121,1.18281,0.62138,0.65582,0.6514,0.3948,1.32661,1.35873,1.47381,0.000434286,0.000434286,0.000434286
14,2981.88,0.90033,0.83062,1.17125,0.63285,0.63766,0.65073,0.39746,1.32784,1.35063,1.46164,0.000387143,0.000387143,0.000387143
15,3202.08,0.88117,0.80451,1.16244,0.63831,0.64946,0.65596,0.40287,1.31883,1.34093,1.45884,0.00034,0.00034,0.00034
16,3422.83,0.88454,0.79691,1.15914,0.62335,0.65195,0.64175,0.3921,1.31786,1.35655,1.4678,0.000292857,0.000292857,0.000292857
17,3639.01,0.88246,0.77278,1.15703,0.64804,0.63079,0.64448,0.39561,1.32211,1.35483,1.46514,0.000245714,0.000245714,0.000245714
18,3849.16,0.85589,0.7652,1.13607,0.63232,0.65236,0.64975,0.39935,1.31911,1.3546,1.45803,0.000198571,0.000198571,0.000198571
19,4061.17,0.86829,0.74899,1.14063,0.6524,0.64461,0.64962,0.40459,1.31263,1.34652,1.45317,0.000151429,0.000151429,0.000151429
20,4277.65,0.85083,0.73319,1.13802,0.6547,0.62866,0.64709,0.39942,1.31634,1.35165,1.45885,0.000104286,0.000104286,0.000104286
21,4482.49,0.84635,0.73828,1.1393,0.65588,0.63638,0.64761,0.40018,1.31758,1.35689,1.46116,5.71429e-05,5.71429e-05,5.71429e-05
